AAAAM-2012->[AAAAM-2012, AAAAM-2010, CAECAIE-2005]
-2016->[AAAAM-2012, AAAAM-2010, CAECAIE-2005]
AAAAM-2010->[AAAAM-2010, EPUCCSF-2004, CAECAIE-2005]
CAECAIE-2005->[EPUCCSF-2004, JLEGCIES-2006, CAECAIE-2005]
JLEGC-2008->[WIECF-2003, WIECF-2005, WIECF-2008]
SIPU-2008->[WIECF-2003, WIECF-2005, AAAAM-2012]
EAJSIC-2017->[WIECF-2003, WIECF-2005, AAAAM-2012]
IFC-2010->[WIECF-2003, WIECF-2005, AAAAM-2012]
JTSA-1996->[WIECF-2003, AAAAM-2012, WIECF-2005]
WERFA-2014->[AAAAM-2012, WIECF-2003, CN-2016]
WOMT-2015->[WIECF-2003, AAAAM-2012, WIECF-2005]
AAAAM-2008->[AAAAM-2012, CN-2016, WIECF-2003]
ACEAA-2012->[AAAAM-2012, WIECF-2003, CN-2016]
JCIDIT-2014->[AAAAM-2012, WIECF-2003, CN-2016]
ACEAA-2014->[ACEAA-2014, ACEAA-1998, ACEAA-2008]
AAAAM-2007->[AAAAM-2012, AAAAM-2007, AAAAM-2016]
-2015->[AAAAM-2012, AAAAM-2016, CN-2016]
ACEAA-1998->[ACEAA-1998, ACEAA-2008, ACEAA-1999]
ACEAA-2008->[ACEAA-2008, ACEAA-1999, ACEAA-2001]
ACEAA-1999->[ACEAA-1999, ACEAA-2001, AAAAM-2012]
CEAA-2004->[AAAAM-2012, ACEAA-2001, CN-2016]
ACENJP-2015->[AAAAM-2012, ACEAA-2001, CN-2016]
WIECF-2003->[WIECF-2003, AAAAM-2012, WIECF-2005]
WIECF-2005->[AAAAM-2012, WIECF-2005, WIECF-2008]
EASEPUC-2006->[AAAAM-2012, ACEAA-2001, CN-2016]
RFOTSJOFAA-2012->[AAAAM-2012, CN-2016, ACEAA-2001]
WIECF-2008->[AAAAM-2012, WIECF-2008, CN-2016]
WIECF-2009->[AAAAM-2012, CN-2016, EAAAC-2010]
JHLGC-2011->[AAAAM-2012, CN-2016, EAAAC-2010]
EPUC-2002->[AAAAM-2012, CN-2016, EAAAC-2010]
ACEAA-2001->[ACEAA-2001, AAAAM-2012, ACEAA-2003]
FRW-2013->[AAAAM-2012, CN-2016, EAAAC-2010]
ACEAA-2003->[AAAAM-2012, ACEAA-2003, CN-2016]
CFEIAP-2016->[AAAAM-2012, CN-2016, EAAAC-2010]
FI-2015->[EPUCCSF-2004, JLEGCIES-2006, FI-2015]
AAAAM-2016->[AAAAM-2012, AAAAM-2016, CN-2016]
ACEAA-2006->[AAAAM-2012, CN-2016, EAAAC-2010]
ISDEA-2004->[AAAAM-2012, CN-2016, EAAAC-2010]
IVFRW-2013->[AAAAM-2012, CN-2016, EAAAC-2010]
CAECA-2007->[AAAAM-2012, CN-2016, EAAAC-2010]
SPMSM-2005->[AAAAM-2012, CN-2016, EAAAC-2010]
NME-2011->[AAAAM-2012, CN-2016, EAAAC-2010]
CAECA-2003->[AAAAM-2012, CN-2016, CAECA-2003]
C-2011->[AAAAM-2012, CN-2016, EAAAC-2010]
EAAAC-2010->[AAAAM-2012, CN-2016, EAAAC-2010]
WAE-2008->[AAAAM-2012, CN-2016, CAEAA-2002]
AM-2000->[AAAAM-2012, CN-2016, CAEAA-2002]
CAECA-1999->[AAAAM-2012, CN-2016, CAEAA-2002]
JIREFC-2008->[AAAAM-2012, CN-2016, CAEAA-2002]
CN-2016->[AAAAM-2012, CN-2016, CAEAA-2002]
CN-2014->[AAAAM-2012, JAC-1997, CAEAA-2002]
EPUCCSF-2004->[JLEGCIES-2006, EPUCCSF-2004]
EIWCMR-2001->[AAAAM-2012, JAC-1997, CAEAA-2002]
JAC-1997->[AAAAM-2012, FI-2015, CAEAA-2002]
CAECAE-1997->[AAAAM-2012, FI-2015, CAEAA-2002]
EAAAC-2007->[AAAAM-2012, AAAAM-2010, CAEAA-2002]
JLEGCIES-2006->[JLEGCIES-2006]
CAEAA-2002->[AAAAM-2012, AAAAM-2010, CAEAA-2002]
